date,max_temp,min_temp
2021-09-01,19.3,6.0
2021-09-02,18.1,4.3
2021-09-03,19.9,2.4
2021-09-04,22.0,3.0
2021-09-05,23.7,5.8
2021-09-06,24.2,8.5
2021-09-07,25.2,7.8
2021-09-08,25.1,9.7
2021-09-09,21.9,9.7
2021-09-10,17.2,8.7
2021-09-11,19.3,8.1
2021-09-12,20.5,5.3
2021-09-13,20.3,4.7
2021-09-14,21.9,5.3
2022-09-01,24.8,9.2
2022-09-02,25.4,9.7
2022-09-03,25.4,11.5
2022-09-04,25.2,11.5
2022-09-05,25.7,9.9
2022-09-06,25.7,10.7
2022-09-07,25.9,10.2
2022-09-08,24.5,10.1
2022-09-09,24.4,8.8
2022-09-10,21.5,9.0
2022-09-11,17.4,8.3
2022-09-12,16.5,5.8
2022-09-13,14.1,5.3
2022-09-14,13.6,1.8
2023-09-01,13.6,4.9
2023-09-02,11.3,5.0
2023-09-03,6.5,-1.4
2023-09-04,14.3,-2.4
2023-09-05,16.0,2.6
2023-09-06,15.5,1.6
2023-09-07,16.7,3.6
2023-09-08,17.8,4.0
2023-09-09,14.1,5.7
2023-09-10,16.4,6.5
2023-09-11,16.4,4.5
2023-09-12,16.1,2.6
2023-09-13,15.9,3.6
2023-09-14,18.1,5.5
2024-09-01,21.3,8.7
2024-09-02,19.5,8.8
2024-09-03,20.9,7.5
2024-09-04,22.5,6.4
2024-09-05,24.2,7.9
2024-09-06,22.4,9.0
2024-09-07,21.4,11.1
2024-09-08,20.2,9.4
2024-09-09,20.3,8.0
2024-09-10,20.3,7.2
2024-09-11,16.0,4.7
2024-09-12,16.2,3.7
2024-09-13,18.1,3.4
2024-09-14,17.7,3.7
2025-09-01,21.6,6.7
2025-09-02,20.3,8.5
2025-09-03,18.7,7.7
2025-09-04,20.0,6.1
2025-09-05,19.1,6.8
2025-09-06,18.0,6.4
2025-09-07,17.2,5.3
2025-09-08,16.2,4.8
2025-09-09,13.9,3.0
2025-09-10,8.5,0.6
2025-09-11,11.5,-1.3
2025-09-12,11.9,1.7
2025-09-13,15.8,1.0
2025-09-14,16.7,3.8
